"site","ID","species","dbh","distance","Status"
"GE1","GE1001","QUAL",43,8,"Li"
"GE1","GE1002","PIST",35.3,9,"Li"
"GE1","GE1003","PIST",58.4,10.8,"Li"
"GE1","GE1004","AMAR",10.7,6,"Li"
"GE1","GE1005","ACRU",13.8,7.1,"Li"
"GE1","GE1006","PIST",23.9,10.9,"Li"
"GE1","GE1007","PIST",67.7,13.2,"Li"
"GE1","GE1008","QUMO",33.4,20.2,"Li"
"GE1","GE1009","ACRU",22,14.3,"Li"
"GE1","GE1010","ACRU",35,15.7,"Li"
"GE1","GE1011","QURU",51.1,26,"Li"
"GE1","GE1012","QURU",40.5,21.9,"Li"
"GE1","GE1013","PIST",56,27.5,"Li"
"GE1","GE1014","QURU",40.9,30,"Li"
"GE1","GE1015","PIST",50.4,29.7,"Li"
"GE1","GE1016","PIST",45,26.3,"Li"
"GE1","GE1017","PIST",48.8,26.4,"Li"
"GE1","GE1018","QURU",NA,21.9,"Sn"
"GE1","GE1019","QURU",41.6,25.2,"Li"
"GE1","GE1020","QURU",42.9,27.5,"Li"
"GE1","GE1021","QUAL",45.5,6.5,"Li"
"GE1","GE1022","QURU",27.9,4.1,"Li"
"GE1","GE1023","QURU",46.1,8.8,"Li"
"GE1","GE1024","PIST",19.8,9.3,"Li"
"GE1","GE1025","PIST",20,6.6,"Li"
"GE1","GE1026","OSVI",12.6,9.7,"Li"
"GE1","GE1027","QUAL",39.1,10.8,"Sn"
"GE1","GE1028","PIST",15.6,6.4,"Li"
"GE1","GE1029","PIST",58.5,7.5,"Li"
"GE1","GE1030","QURU",30.4,14.7,"Li"
"GE1","GE1031","PIST",44.5,12.8,"Li"
"GE1","GE1032","QURU",29.7,18.8,"Li"
"GE1","GE1033","QUAL",39.4,21.5,"Li"
"GE1","GE1034","QUMO",42.5,10.7,"Li"
"GE1","GE1035","PIST",44.1,16,"Li"
"GE1","GE1036","QURU",47.4,26.4,"Li"
"GE1","GE1037","PIST",40.1,15.8,"Li"
"GE1","GE1038","ACRU",51.8,15.8,"Li"
"GE1","GE1039","QURU",40.3,28.6,"Li"
"GE1","GE1040","QURU",40.4,25.1,"Li"
"GE1","GE1041","QU-",27,21.6,"Lo"
"GE1","GE1042","QURU",50.3,28.5,"Li"
"GE1","GE1043","QU-",21.5,10.3,"Lo"
"GE1","GE1044","QURU",47.3,6.8,"Li"
