SITE,TREE,CORE,SPECIES,INNER_YEAR,OUTER_YEAR,INNER_MEAS,OUTER_MEAS,TOTAL_RINGS,PITH,Gap,Missing,FALSE,Incomplete,Reaction,StartGap,COMMENTS
GE1,1,n,QUAL,1752,2013,1752,2013,262,3,1986,NA,NA,NA,,G,
GE1,1,s,QUAL,1791,2013,1791,2013,223,11,NA,NA,NA,1791,,G,
GE1,2,n,PIST,1893,2013,1893,2013,121,7,NA,NA,NA,1893,,G,
GE1,2,s,PIST,1893,2013,1893,2013,121,7,NA,NA,NA,1893,,G,
GE1,3,n,PIST,1837,2013,1837,2013,177,3,1844,1948,2001 1995 1864 1847,1837,,G,
GE1,3,s,PIST,1851,2013,1851,2013,163,11,NA,1948,2001 1988,1851,,G,
GE1,4,e,AMAR,1939,2013,1939,2013,75,10,NA,NA,NA,1939,,N,
GE1,4,w,AMAR,1939,2013,1939,2013,75,10,NA,2013 2008 2006,NA,1939,,N,
GE1,5,n,ACRU,1935,2013,1935,2013,79,3,NA,NA,NA,NA,,N,
GE1,5,s,ACRU,1935,2013,1935,2013,79,3,NA,NA,NA,NA,,N,
GE1,6,n,PIST,1928,2013,1928,2013,86,11,NA,NA,1955,1928,,N,
GE1,6,s,PIST,1927,2013,1927,2013,87,11,NA,NA,2010 1988 1975 1964,1927,,N,
GE1,7,e,PIST,1907,2013,1907,2013,107,11,2008 1971,NA,2001 1995 1983 1965 1963 1955 1941 1939,NA,,U,
GE1,7,w,PIST,1903,2013,1903,2013,111,11,NA,NA,1995 1983 1955 1941 1939,1903,,U,
GE1,8,e,QUMO,1832,2013,1832,2013,182,2,NA,NA,NA,1832,,G,
GE1,8,w,QUMO,1832,2013,1832,2013,182,2,NA,NA,NA,1832,,G,
GE1,9,n,ACRU,1932,2013,1932,2013,82,11,NA,1966,NA,1932,,U,
GE1,10,n,ACRU,1808,2013,1808,2013,206,8,1966,1966,NA,1808,,N,
GE1,10,s,ACRU,1859,2013,1859,2013,155,11,1864,NA,NA,1859,,N,
GE1,11,n,QURU,1834,2013,1834,2013,180,11,NA,NA,NA,1834,,U,
GE1,11,s,QURU,1860,2013,1860,2013,154,11,NA,NA,NA,NA,,U,
GE1,12,n,QURU,1886,2013,1886,2013,128,11,NA,NA,NA,1886,,U,
GE1,12,s,QURU,1874,2013,1874,2013,140,11,1916,NA,NA,1874,,U,
GE1,13,n,PIST,1834,2013,1834,2013,180,11,1834,1950 1949 1948,1995 1988 1983 1981 1939 1849 1841,1834,,G,
GE1,13,s,PIST,1838,2013,1838,2013,176,8,1854 1838,1949 1948,1995 1988 1849 1847 1841,1838,,G,
GE1,14,e,QURU,1839,2013,1839,2013,175,11,1985 1952 1843,NA,NA,1839,,G,
GE1,14,w,QURU,1825,2013,1825,2013,189,4,2006 1982 1974 1968 1958 1954 1952,NA,NA,1825,,U,
GE1,15,e,PIST,1936,2013,1936,2013,78,11,1937 1940 1941 1963 1973,NA,2010 1995 1988 1961-1966 1955 1952 1943 1941,1936,,G,
GE1,15,w,PIST,1915,2013,1915,2013,99,5,1915-1919 1956 1961,NA,1995 1983 1955 1941 1939 1932 1921,1915,,G,
GE1,16,e,PIST,1880,2013,1880,2013,134,11,1907,NA,1995 1988,1880,,U,Rot (holes) inside 1903
GE1,16,w,PIST,1870,2013,1870,2013,144,11,1904 1893 1881 1879,NA,1995 1988 1955,NA,,U,Rot (holes) inside 1906
GE1,17,e,PIST,1921,2013,1921,2013,93,11,NA,NA,1995 1991 1988 1983,1921,1925-1940,U,
GE1,17,w,PIST,1916,2013,1916,2013,98,11,NA,NA,1995 1988,NA,1925-1940,U,
GE1,19,e,QURU,1859,2013,1859,2013,155,11,1896 1907 1916 1934 1945 1957,NA,NA,NA,,U,
GE1,19,w,QURU,1837,2013,1837,2013,177,11,NA,NA,NA,1837,,U,
GE1,20,e,QURU,1840,2013,1840,2013,174,11,1941,NA,NA,1840,,G,
GE1,20,w,QURU,1818,2013,1818,2013,196,5,1941,NA,NA,NA,,G,
GE1,21,n,QUAL,1752,2013,1752,2013,262,11,2010,NA,NA,1752,,G,
GE1,21,s,QUAL,1735,2013,1735,2013,279,0,1736,NA,NA,NA,,G,
GE1,22,n,QURU,1904,2013,1904,2013,110,8,NA,NA,NA,1904,,G,
GE1,22,s,QURU,1889,2013,1889,2013,125,11,1939,NA,NA,1889,,G,
GE1,23,e,QURU,1816,2013,1816,2013,198,2,1992 1948 1894 1869,NA,NA,1816,,G,
GE1,23,w,QURU,1832,2013,1832,2013,182,11,1993 1989 1978 1929 1913 1903 1900 1862 1853 1840 1833,NA,NA,NA,,G,
GE1,24,n,PIST,1888,2013,1888,2013,126,4,NA,1997 1983 1950 1949 1948,"1965, 1953?, 1903, 1901, 1897, 1893",1888,1889,G,
GE1,24,s,PIST,1888,2013,1888,2013,126,4,NA,1997 1983 1950 1949 1948,1893,1888,1889,G,
GE1,25,e,PIST,1886,2013,1886,2013,128,3,NA,NA,NA,1886,,G,
GE1,25,w,PIST,1886,2013,1886,2013,128,3,1902,NA,1898,1886,,G,
GE1,26,e,OSVI,1878,2013,1878,2013,136,10,NA,1909 1943,NA,1878,,N,
GE1,26,w,OSVI,1868,2013,1868,2013,146,0,NA,1983 1985,NA,NA,,N,
GE1,27,n,QUAL,1807,1977,1807,1977,171,11,1822,NA,NA,NA,,U,
GE1,27,s,QUAL,1736,1956,1736,1956,221,11,1770 1740 1733 1709,NA,NA,NA,,U,
GE1,28,e,PIST,1888,2013,1888,2013,126,7,NA,NA,NA,1888,,G,
GE1,28,w,PIST,1888,2013,1888,2013,126,7,NA,1948,NA,1888,,G,
GE1,29,e,PIST,1865,2013,1865,2013,149,2,1867 1868 1953,NA,1939,1865,,G,
GE1,29,w,PIST,1863,2013,1863,2013,151,2,1865 1868 1870 1874 1886 1901,NA,NA,NA,,G,
GE1,30,n,QURU,1875,2013,1875,2013,139,3,NA,NA,NA,NA,,N,
GE1,30,s,QURU,1875,2013,1875,2013,139,3,NA,NA,NA,NA,,N,
GE1,31,e,PIST,1835,2013,1835,2013,179,7,NA,1948,1988 1838,NA,,G,
GE1,31,w,PIST,1903,2013,1903,2013,111,11,1931 1906,1948,1995 1988 1964,NA,,G,
GE1,32,w,QURU,1871,2013,1871,2013,143,3,1872 2003,NA,NA,NA,,G,
GE1,33,e,QUAL,1832,2013,1832,2013,182,7,1833,NA,NA,1832,,G,
GE1,33,w,QUAL,1826,2013,1826,2013,188,2,1829,NA,NA,NA,,G,
GE1,34,e,QUMO,1917,2013,1917,2013,97,11,2003 1949,NA,NA,NA,,U,
GE1,34,w,QUMO,1903,2013,1903,2013,111,11,1939,NA,NA,1903,,U,
GE1,35,n,PIST,1886,2013,1886,2013,128,2,1887,NA,1983 1981 1939,1886,,G,
GE1,35,s,PIST,1916,2013,1916,2013,98,11,NA,NA,1995 1988 1983 1981,1916,,G,
GE1,36,n,QURU,1897,2013,1897,2013,117,11,2010 1945 1930,NA,NA,NA,,U,
GE1,36,s,QURU,1921,2013,1921,2013,93,11,2006 1995 1978 1974 1967 1947 1944,NA,NA,NA,,U,
GE1,37,n,PIST,1887,2013,1887,2013,127,7,1893 1895,1948-1955,1995 1988 1896,1887,1888 1887,G,
GE1,37,s,PIST,1911,2013,1911,2013,103,11,NA,1948-1953,2010 1995 1988,1911,,G,
GE1,38,e,ACRU,1973,2013,1973,2013,41,11,1973,NA,NA,1973,,N,
GE1,38,w,ACRU,1899,2013,1899,2013,115,11,NA,NA,NA,NA,,N,
GE1,39,n,QURU,1835,2013,1835,2013,179,11,2008 1990 1970 1963 1952 1942 1927 1906 1875 1860,,NA,1835,,G,
GE1,39,s,QURU,1923,2013,1823,2013,191,11,2011 2002 1948 1905 1888 1880 1874 1871 1868 1846,NA,NA,NA,,U,
GE1,40,n,QURU,1918,2013,1918,2013,96,11,NA,NA,NA,1918,,N,
GE1,40,s,QURU,1852,2013,1852,2013,162,2,NA,NA,NA,1852,,N,
GE1,42,n,QURU,1877,2013,1877,2013,137,11,NA,NA,NA,1877,,U,
GE1,42,s,QURU,1915,2013,1915,2013,99,11,NA,NA,NA,NA,,U,
GE1,44,e,QURU,1861,2013,1861,2013,153,11,1981 1976 1973 1937 1906 1892,NA,NA,NA,,U,
GE1,44,w,QURU,1932,2013,1932,2013,82,11,NA,NA,NA,NA,,U,
GE1,45,n,PIST,1878,2013,1878,2013,136,3,NA,1919 1930 1931 1948-1951 1969 1983 2006,NA,NA,,G,
GE1,45,s,PIST,1878,2013,1878,2013,136,3,NA,1948-1950 1983 2006,NA,NA,,G,
GE1,46,e,FAGR,1963,2013,1963,2013,51,5,NA,NA,NA,NA,,N,
GE1,46,w,FAGR,1963,2013,1963,2013,51,5,NA,NA,NA,NA,,N,
GE1,48,n,PIST,1877,2013,1877,2013,137,1,NA,1948 1949,1988 1888,1877,,N,
GE1,48,s,PIST,1877,2013,1877,2013,137,1,NA,1948,1888,1877,,N,
GE1,49,n,ACRU,1943,2013,1943,2013,71,11,2001,2002-2006,NA,NA,,U,
GE1,49,s,ACRU,1936,2013,1936,2013,78,11,2009,2009 2008,NA,NA,,U,
GE1,50,n,PIST,1884,2013,1884,2013,130,0,1894 1901 1911,NA,2010 1995,1884,,G,
GE1,50,s,PIST,1923,2013,1923,2013,91,8,1926,NA,1988,1923,,G,
GE1,51,n,ACRU,1878,2013,1878,2013,136,11,NA,1897 1983,NA,NA,,G,
GE1,51,s,ACRU,1847,2013,1847,2013,167,0,NA,1883 1897 1954 1960 1988,NA,NA,,G,
GE1,53,n,PIST,1875,2009,1875,2009,135,11,NA,1948-1950,NA,1875,,U,
GE1,53,s,PIST,1879,2010,1879,2010,132,11,NA,NA,NA,1879,,U,
GE1,54,n,PIST,1875,2013,1875,2013,139,4,1879,1948,,NA,,N,
GE1,54,s,PIST,1907,2013,1907,2013,107,11,NA,NA,NA,1907,,N,
GE1,55,n,PIST,1882,1961,1882,1961,80,2,NA,NA,NA,1882,,G,
GE1,55,s,PIST,1882,1986,1882,1986,105,2,NA,NA,NA,1882,,G,
GE1,56,n,PIST,1895,2013,1895,2013,119,11,NA,1948 1949 1950,1988 1983 1939,1895,,G,
GE1,56,s,PIST,1888,2013,1888,2013,126,3,NA,1948 1949,1988 1965 1963 1962,1888,,G,
GE1,57,n,QURU,1840,2013,1840,2013,174,11,1874,NA,NA,1840,,G,
GE1,57,s,QURU,1819,2013,1819,2013,195,2,NA,NA,NA,NA,,G,
GE1,58,n,QURU,1847,2013,1847,2013,167,2,2000 1957,NA,NA,1847,,N,
GE1,58,s,QURU,1870,2013,1870,2013,144,11,1998 1953 1949 1938 1931,NA,NA,NA,,N,
GE1,59,n,PIST,1902,2013,1902,2013,112,5,2005 1929,NA,2010 1995 1966 1965 1962 1939,1902,,G,
GE1,59,s,PIST,1925,2013,1925,2013,89,11,1954,NA,2010 1995 1988 1965 1963 1962 1955 1939,1925,,G,
GE1,60,n,PIST,1889,2013,1889,2013,125,2,NA,NA,1983,1889,,G,
GE1,60,s,PIST,1887,2013,1887,2013,127,3,NA,NA,1995 1988 1983 1981 1970 1962 1955 1939 1899 1898,NA,,G,
GE1,61,n,QUMO,1848,2013,1848,2013,166,11,1944 1960 1955,NA,NA,1848,,N,
GE1,61,s,QUMO,1814,2013,1814,2013,200,3,1815,NA,NA,1814,,N,
GE1,62,s,QUAL,1831,2013,1832,2013,182,3,NA,NA,NA,1831,,N,
GE1,62,e,QUAL,1795,2013,1796,2013,218,3,NA,NA,NA,1795,,N,
GE1,63,e,PIST,1904,2013,1904,2013,110,11,1920 1954-1964,1955-1964,NA,NA,,G,
GE1,63,w,PIST,1902,2013,1902,2013,112,5,NA,NA,1995 1988 1983 1981,1902,,G,
GE1,64,n,PIST,1893,2013,1893,2013,121,11,1896,NA,NA,1893,,G,
GE1,64,s,PIST,1881,2013,1881,2013,133,0,1902,NA,2010,1881,,G,
GE1,65,e,PIST,1881,2013,1881,2013,133,5,NA,NA,NA,1881,,N,
