"D62","D69","D75","D87","D91","D92","D01","D11","species","distance","site","ID","finalCond"
NA,NA,NA,NA,NA,"8.89","12.5","17.2","TSCA",6.8461364053019,"LF1","LF1001","alive"
"36.83","41.4","45.72",NA,NA,"54.61","58.9","63.6","QURU",6.61668781188897,"LF1","LF1002","alive"
"17.526","18.03","19.56",NA,NA,"21.08","21","21.6","ACRU",7.24020305792593,"LF1","LF1003","alive"
"24.384","25.91","27.43",NA,NA,"29.72","30","30.6","ACRU",10.6951796618851,"LF1","LF1004","alive"
"10.16","12.19","12.7",NA,NA,"14.22","14.4","15","ACRU",9.88839974920108,"LF1","LF1005","alive"
"10.668","10.67","11.43",NA,NA,"12.95",NA,NA,"ACRU",9.74645363196276,"LF1","LF1006","alive"
"24.892","26.42","28.45",NA,NA,"34.8","31.1","31.2","BEAL",11.3984604855217,"LF1","LF1007","alive"
NA,NA,NA,NA,NA,NA,NA,"14","TSCA",6.40261402866048,"LF1","LF1008","alive"
"23.622","25.4","27.69",NA,NA,"31.24","32.6","33.7","FAGR",3.0365484880041,"LF1","LF1009","alive"
"21.59","23.37","25.15",NA,NA,"28.7","29.3","29.9","ACRU",8.43035145174862,"LF1","LF1010","alive"
"14.986","15.75","16.76",NA,NA,"18.8","19.5","20.5","ACRU",13.1629848286777,"LF1","LF1011","alive"
"38.1","41.66","45.97",NA,NA,"52.58","54.6","59.4","QURU",7.3167873277826,"LF1","LF1012","alive"
"22.86","25.4","27.94",NA,NA,"32.77","35.4","40.1","QURU",3.91819184828921,"LF1","LF1013","alive"
"22.606","23.11","23.62",NA,NA,"23.62","23.9","24","ACRU",8.11735678161309,"LF1","LF1014","dead"
"31.242","34.8","37.59",NA,NA,"43.94","45.7","49.4","QURU",12.630825208196,"LF1","LF1015","alive"
"25.908","28.7","31.5",NA,NA,"36.58","39.1","42.2","QURU",11.3392154649253,"LF1","LF1016","alive"
NA,NA,NA,NA,NA,"6.6","8.2","10.2","FAGR",3.10836229548616,"LF1","LF1017","alive"
"18.796","19.81","21.84",NA,NA,"24.64","25.5","26.4","ACRU",3.29691608628427,"LF1","LF1018","alive"
NA,NA,NA,NA,NA,NA,"5.8","9.7","TSCA",6.35162539197645,"LF1","LF1019","alive"
"47.244","50.8","54.86",NA,NA,"60.96","64.1","67.7","QURU",8.40413803789538,"LF1","LF1020","alive"
"15.494","17.53","19.05",NA,NA,"19.81","20.5","20.5","BEAL",10.5860423199608,"LF1","LF1021","alive"
"50.292","53.09","56.39",NA,NA,"61.98","64.6","67","QURU",13.4189909188433,"LF1","LF1022","alive"
"20.574","21.08","21.59",NA,NA,"23.11","24.5","26.5","PIST",19.7309449626722,"LF1","LF1023","alive"
NA,NA,"6.86",NA,NA,"13.72","17.4","22.2","TSCA",18.7922239450258,"LF1","LF1024","alive"
NA,NA,"5.84",NA,NA,"12.95","17","21.7","TSCA",13.0219535308647,"LF1","LF1026","alive"
NA,"5.59","7.11",NA,NA,"13.46","15.5","19.2","TSCA",17.372263106458,"LF1","LF1027","alive"
NA,NA,"6.1",NA,NA,"11.94","15.3","20.4","TSCA",13.6395871491772,"LF1","LF1028","alive"
