PlotID,Tree,Site,Species,Canopy,Status,DBH,Distance,Azimuth,x,y,Notes
HMC1,1,HMC West,TSCA,I,Li,26.6,4.3,84,4.27644415,0.449472392,
HMC1,2,HMC West,TSCA,I,Li,24,4.6,47,3.364227027,3.137192456,
HMC1,3,HMC West,ACSA,D,Li,43.1,7.2,6,0.752604936,7.160557647,
HMC1,4,HMC West,ACSA,D,Li,45.6,4.9,328,-2.596604395,4.155435671,
HMC1,5,HMC West,TSCA,S,Li,24.1,4.2,325,-2.409021033,3.440438586,
HMC1,6,HMC West,TSCA,I,Li,33.3,5.75,321,-3.618592249,4.468589278,
HMC1,7,HMC West,TSCA,I,Li,37.8,10.8,320,-6.942106185,8.273279986,
HMC1,8,HMC West,TSCA,I,Li,26.7,11.5,308,-9.062123666,7.080106966,
HMC1,9,HMC West,TSCA,I,Li,30.8,14.4,310,-11.03103998,9.256141579,
HMC1,10,HMC West,ACSA,Sn,Sn,36,10.5,292,-9.735430473,3.933369231,
HMC1,11,HMC West,TSCA,S,Li,20.3,13.3,280,-13.09794312,2.309520763,
HMC1,12,HMC West,TSCA,D,Li,60.3,13.8,257,-13.44630689,-3.10432455,
HMC1,13,HMC West,TSCA,C,Li,39.2,11.2,252,-10.65183298,-3.460990337,
HMC1,14,HMC West,TSCA,I,Li,31.8,7.1,250,-6.671817608,-2.428343018,
HMC1,15,HMC West,TSCA,D,Li,61.1,7.4,236,-6.134878037,-4.138027486,
HMC1,16,HMC West,ACSA,I,Li,32.6,11.5,223,-7.842981141,-8.410567569,
HMC1,17,HMC West,TSCA,C,Li,36.9,13.6,217,-8.184684315,-10.86144294,
HMC1,18,HMC West,TSCA,C,Li,29.6,15.9,220,-10.22032299,-12.18010665,
HMC1,19,HMC West,TSCA,D,Li,55.7,14.2,235,-11.63195903,-8.144785396,
HMC1,20,HMC West,TSCA,I,Li,22,15.6,242,-13.77398245,-7.323756379,
HMC1,21,HMC West,TSCA,C,Li,55,7.2,181,-0.125657326,-7.198903405,
HMC1,22,HMC West,TSCA,D,Li,57.4,14.2,184,-0.990541927,-14.16540951,
HMC1,23,HMC West,TSCA,D,Li,65.2,13.5,153,6.128871746,-12.02858808,
HMC1,24,HMC West,ACSA,I,Li,23.2,11.8,153,5.357087897,-10.51387699,
HMC1,25,HMC West,TSCA,S,Li,22.8,11.2,153,5.084693597,-9.979273071,
HMC1,26,HMC West,TSCA,C,Li,35.9,6,113,5.523029121,-2.344386771,
HMC1,27,HMC West,BEAL,C,Li,31.4,7.2,181,-0.125657326,-7.198903405,
HMC1,28,HMC West,TSCA,C,Li,50.3,11.8,102,11.54214169,-2.453357952,
HMC1,29,HMC West,ACSA,C,Li,37.9,13.1,80,12.90098156,2.274791127,
