"site","ID","species","distance","D62","D67","D89","D94","D99","D04","D09","D14"
"HMC1","HMC1001","TSCA",3.7,20.5,20.8,23,22.9,23.4,24.1,25.4,26.9
"HMC1","HMC1002","TSCA",4.9,22.8,23.1,24.9,23.9,24.1,24.2,24.2,24.2
"HMC1","HMC1003","ACSA",6.9,32,32.5,36.7,38.6,38.4,40.9,41.8,41
"HMC1","HMC1004","ACSA",5,41.4,41.6,43.6,44.2,44.4,44.6,44.9,45.9
"HMC1","HMC1005","TSCA",4.3,20.8,21.3,22.9,23.2,23.6,23.6,24,23.8
"HMC1","HMC1006","TSCA",7,24.1,25.1,28.3,29.2,30.1,30.7,31.8,31.5
"HMC1","HMC1007","TSCA",10.9,25.4,26.4,31.1,32.2,33.7,34.5,35.7,36.7
"HMC1","HMC1008","TSCA",11.6,23.1,24.1,25.9,26.3,26.4,26.3,26.8,26.3
"HMC1","HMC1009","TSCA",14.5,22.3,23.6,28.4,28,28.8,29.5,30,NA
"HMC1","HMC1010","ACSA",10.6,30.4,31.2,32.7,33.8,34.3,34.6,34.7,34.3
"HMC1","HMC1011","TSCA",13,13.4,14.4,16.8,17.5,17.8,18,18.3,19.3
"HMC1","HMC1012","TSCA",13.8,45.2,46.7,53.6,54.7,55.9,57,58.5,59.2
"HMC1","HMC1013","TSCA",11.2,34.5,35.3,37.4,37.6,38,38.3,38.7,38.8
"HMC1","HMC1014","TSCA",7.2,27.1,27.6,29.5,30,30.5,31.1,31.7,31.5
"HMC1","HMC1015","TSCA",7.5,48.5,49.7,55.4,57,57.7,58.8,59.9,60.8
"HMC1","HMC1016","ACSA",11.4,28.9,29.4,31.8,31.9,32.5,32.7,33.7,33.4
"HMC1","HMC1017","TSCA",13.5,29.2,30.2,33.5,34.1,35.4,35.6,36.3,36.7
"HMC1","HMC1018","TSCA",16,18.7,20.3,24.6,26,26.6,27.2,28,28.9
"HMC1","HMC1019","TSCA",14.1,46.9,48,55.4,54.2,55.3,56.3,57,NA
