"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
220,7092,5,"Acsa",-1,-0.1,30.2,,,,,,,,1,,,,,,,"Gone: long dead",,,,,
221,7092,2,"Tsca",2,13.6,43.9,45.4,51.8,53.6,54.5,55.8,57.6,59.8,,,,,,,,,,,,,
222,7092,901,"Tsca",12,17.4,,,28.2,28.6,28.3,28.3,28.7,29.6,,,,,,,,,,,,,
223,7092,4,"Acsa",15,12.6,28.9,28.9,30.3,30.4,30.5,30.7,30.8,,,,,,,,1,,,,,,"1-b-0"
224,7092,3,"Acsa",15,13,29.9,30.4,32.8,33.6,33.8,34.1,34.1,,,,,,,,1,,,,,,"1-b-0"
225,7092,902,"Acsa",17,18.3,,,54.9,55.6,55.5,55.6,57.3,57.1,,,,,,,,,,,,,
226,7092,1,"Tsca",28,5.3,37.8,38.6,41.5,42.2,42.7,43.4,43.7,44.7,,,,,,,,,,,,,
227,7092,6,"Tsca",31,13,60.4,61.9,70.5,71.6,72.9,75,76.6,77.1,,,,,,,,,,,,,
228,7092,7,"Tsca",54,10.9,53.3,54.6,60.8,62.4,63.3,64,66,65.9,,,,,,,,,,,,,
229,7092,8,"Tsca",58,9.9,14.4,14.9,16.3,17.3,17.3,18,18.8,18.7,,,,,,,,,,,,,
230,7092,903,"Tsca",59,16.3,,,28.7,29.5,29.6,29.7,31.1,31.2,,,,,,,,,,,,,
231,7092,10,"Tiam",75,5.4,44.7,45.4,52.6,54.2,55.7,56.2,58.4,59.3,,,,,,,,,,,,,
232,7092,9,"Tsca",76,14.8,31.4,32.2,36.2,37,37.3,38,39.2,39,,,,,,,,,,,,,
233,7092,904,"Tsca",81,19.1,,,52.5,53.7,54.5,54.7,56.1,56.7,,,,,,,,,,,,,
234,7092,905,"Tsca",85,17.1,,,16.7,17.2,,,,,,,,1,,,,,,"w/ twigs",,,
235,7092,906,"Tsca",88,17,,,32.5,,,,,,,,1,,,,,,"1 standing",,,,
236,7092,11,"Tsca",90,4.4,37.8,38.6,,,,,,,,1,,,,,,"Standing dead. 1-2 yrs.",,,,,
237,7092,12,"Tsca",93,11.8,35.5,36,40.6,42.9,43.6,44.6,45.7,46.8,,,,,,,,,,,,,
238,7092,13,"Acsa",97,13,49.5,50.2,53.7,55.8,57.9,59.1,61.3,62.1,,,,,,,,,,,,,
239,7092,907,"Tsca",105,16.7,,,31.8,31.5,,,,,,,,1,,,,,,"w/ twigs",,,
240,7092,14,"Tsca",111,15,19.5,19.5,20.2,20.3,20.3,20.2,,,,,,,,1,,,,,,"2-standing",
241,7092,908,"Acsa",114,16.4,,,45,46.5,48.2,48.5,51.4,53.5,,,,,,,,,,,,,
242,7092,15,"Tsca",122,10.1,49.2,50.5,55.4,56.8,57,59,60.7,61.2,,,,,,,,,,,,,
243,7092,910,"Tiam",146,17.6,,,42.8,44.8,46.5,46.9,48.3,48.3,,,,,,,,,,,,,
245,7092,16,"Tiam",152,7.4,59.9,60.1,64.5,65.1,65.4,,,,,,,,1,,,,,,"dead, broken at 4M",,
248,7092,17,"Tiam",152,10.2,40.3,40.8,45.1,46.1,46.9,47.7,49.8,49.8,,,,,,,,,,,,,
246,7092,18,"Tsca",152,11.4,19.5,19.5,19.6,19.7,,,,,,,,1,,,,,,"large branches",,,
247,7092,20,"Tsca",152,15.7,23.8,24.1,26.5,26.7,27.5,28,,,,,,,,1,,,,,"1/2 trapped, scraped, alive","-T",
244,7092,909,"Tsca",152,16.8,,,16.1,16,,,,,,,,1,,,,,,"w/ twigs",,,
249,7092,19,"Tsca",161,12.2,29.4,29.7,31.3,33,36.1,37.4,,,,,,,,1,,,,,"scarred top damage","leaning",
250,7092,911,"Acsa",167,17,,,54.3,,,,,,,,1,,,,,,"1-B-4",,,,
251,7092,26,"Tsca",179,6.7,19.8,19.8,,,,,,,,1,,,,,,"Dead. 5 yrs. Broken at base.",,,,,
252,7092,25,"Tsca",180,6.9,33.2,33.2,35.2,35.9,36,36.5,37,37.1,,,,,,,,,,,,,
253,7092,27,"Tsca",183,10.7,17.2,17.2,17.6,17.8,17.8,18.1,18.4,19.2,,,,,,,,,,,,,"leanign"
254,7092,21,"Tsca",185,13,37.8,38.8,43.9,45.7,46.6,48.8,,,,,,,,1,,,,,,"1-B-12",
255,7092,22,"Acsa",192,13,26.1,26.1,,,,,,,,1,,,,,,"Broken at base. Dead. 10 yrs.",,,,,
256,7092,912,"Tsca",193,17.5,,,45,,,,,,,,1,,,,,,"2 standing",,,,
257,7092,28,"Acsa",200,3.9,46.2,47.2,50.9,52.5,52.8,53.4,55.5,56.2,,,,,,,,,,,,,
258,7092,23,"Tsca",201,16.3,16.7,16.7,16.8,16.8,,,,,,,,1,,,,,,"med. branches",,,
259,7092,24,"Tsca",207,14.4,54.6,55.8,64.1,66.1,67.1,68.7,69,70.1,,,,,,,,,,,,,
260,7092,29,"Tsca",226,9.5,36.8,37.5,42,43.4,44.3,45.2,46.5,47.3,,,,,,,,,,,,,
261,7092,30,"Acsa",248,10.1,41.4,41.9,45.7,47.3,47.7,48.7,48.9,50.5,,,,,,,,,,,,,
262,7092,31,"Tsca",251,12.6,26.9,27.1,28.4,28.9,28.8,29.2,29.2,29.3,,,,,,,,,,,,,
263,7092,913,"Belu",260,16.4,,,57.4,57.6,58.2,58.3,58.1,58.6,,,,,,,,,,,,,
264,7092,32,"Tsca",263,14.2,33.5,34.5,37.4,38.2,38.4,38.8,39.7,39.8,,,,,,,,,,,,,
266,7092,33,"Tsca",272,6.7,54.8,55.8,60.8,61.8,62.7,64.6,65.5,65.7,,,,,,,,,,,,,
265,7092,914,"Tsca",272,16.3,,,23.2,23.3,,,,,,,,1,,,,,,"large branches",,,
267,7092,915,"Tsca",304,16.1,,,40.2,40.9,40.9,41,42,41.7,,,,,,,,,,,,,
