PlotID,Tree,Site,Species,Canopy,Status,DBH,Distance,Azimuth,x,y
HMC2,37,HMC Rush Lake,ACSA,C,Li,56.3,3.4,204,-1.382904586,-3.106054556
HMC2,27,HMC Rush Lake,TSCA,I,Li,37.9,6.4,184,-0.446441432,-6.384409922
HMC2,2,HMC Rush Lake,TSCA,I,Li,20.1,10.3,185,-0.89770415,-10.26080539
HMC2,30,HMC Rush Lake,TSCA,,Sn,49.3,12.6,186,-1.317058637,-12.53097588
HMC2,31,HMC Rush Lake,TSCA,C,Li,47.5,9.4,220,-6.042203531,-7.200817765
HMC2,38,HMC Rush Lake,TSCA,D,Li,73.5,14.3,213,-7.788338201,-11.99298912
HMC2,39,HMC Rush Lake,TSCA,,Sn,17.1,16.1,209,-7.805434886,-14.08137728
HMC2,40,HMC Rush Lake,TSCA,I,Li,30.5,12.4,248,-11.4970798,-4.645121758
HMC2,41,HMC Rush Lake,TSCA,I,Li,40.3,14.4,252,-13.69521383,-4.449844719
HMC2,42,HMC Rush Lake,TSCA,D,Li,68.2,6.9,272,-6.895796706,0.240806527
HMC2,43,HMC Rush Lake,TSCA,D,Li,53.3,3,311,-2.264128741,1.968177087
HMC2,44,HMC Rush Lake,TSCA,C,Li,47.9,6.1,310,-4.672871103,3.921004419
HMC2,45,HMC Rush Lake,TSCA,I,Li,36.5,11.6,305,-9.502163714,6.653486662
HMC2,46,HMC Rush Lake,ACSA,D,Li,44,14.9,307,-11.8996691,8.967043845
HMC2,47,HMC Rush Lake,TSCA,C,Li,44.9,5.7,29,2.763414835,4.985332331
HMC2,48,HMC Rush Lake,TSCA,D,Li,61.5,14,3,0.732703387,13.98081349
HMC2,49,HMC Rush Lake,TSCA,I,Li,37.9,14.8,349,-2.823973132,14.52808232
HMC2,50,HMC Rush Lake,TSCA,D,Li,78.3,13.8,32,7.312885846,11.70306373
HMC2,51,HMC Rush Lake,TSCA,D,Li,66.4,11.1,54,8.980088638,6.5244163
HMC2,52,HMC Rush Lake,TSCA,S,Li,19.5,10.3,60,8.920061659,5.15
HMC2,53,HMC Rush Lake,TSCA,C,Li,39.7,14.7,78,14.37876973,3.056301855
HMC2,54,HMC Rush Lake,TIAM,D,Li,59.9,5.5,75,5.312592045,1.423504748
HMC2,55,HMC Rush Lake,TSCA,C,Li,47.7,11.8,101,11.58320076,-2.251546145
HMC2,56,HMC Rush Lake,ACSA,D,Li,62.8,13,104,12.61384444,-3.144984643
HMC2,57,HMC Rush Lake,TSCA,,Sn,61,9.9,127,7.906491549,-5.957968729
HMC2,58,HMC Rush Lake,TIAM,,Sn,50,10.3,155,4.352968096,-9.334970206
