"site","ID","species","dbh","distance"
"NRP1","NRP1001","ACSA",27,6
"NRP1","NRP1002","BEAL",45,10.6
"NRP1","NRP1003","FAGR",34,16.6
"NRP1","NRP1004","FAGR",48.2,15.3
"NRP1","NRP1005","FAGR",56.4,10.9
"NRP1","NRP1006","FAGR",23.9,16.3
"NRP1","NRP1007","ACSA",22.4,14.5
"NRP1","NRP1008","ACSA",33.5,29.8
"NRP1","NRP1009","FRAM",36.3,29.9
"NRP1","NRP1010","BEAL",49.7,27.6
"NRP1","NRP1011","FRAM",43.7,29.9
"NRP1","NRP1012","ACSA",18.5,7
"NRP1","NRP1013","FAGR",13.5,9.5
"NRP1","NRP1014","FAGR",18.5,5.2
"NRP1","NRP1015","ACSA",11.5,9.4
"NRP1","NRP1016","FAGR",57.2,12.3
"NRP1","NRP1017","ACSA",14,12.7
"NRP1","NRP1018","FAGR",62,16.4
"NRP1","NRP1019","FAGR",22.6,13.8
"NRP1","NRP1020","FAGR",61.3,20.6
"NRP1","NRP1021","FRAM",39.5,20.3
"NRP1","NRP1022","BEAL",35.1,23.5
"NRP1","NRP1023","FAGR",58.5,28.5
"NRP1","NRP1024","FAGR",31.5,26.6
"NRP1","NRP1025","ACSA",14.2,4
"NRP1","NRP1026","ACSA",24.3,7.8
"NRP1","NRP1027","ACSA",18.3,7
"NRP1","NRP1028","ACSA",24.1,10.2
"NRP1","NRP1029","FAGR",20.7,12.9
"NRP1","NRP1030","ACRU",44.8,13
"NRP1","NRP1031","ACSA",35.7,15
"NRP1","NRP1032","FAGR",25.7,17.9
"NRP1","NRP1033","FAGR",43.3,22.2
"NRP1","NRP1034","FAGR",34.5,26.3
"NRP1","NRP1035","ACRU",49.5,54.2
"NRP1","NRP1036","ACSA",33.2,39.2
"NRP1","NRP1037","FAGR",41.5,23.3
"NRP1","NRP1038","FAGR",55.7,27.9
"NRP1","NRP1039","FAGR",30,27.5
"NRP1","NRP1040","FAGR",35.2,26.7
"NRP1","NRP1041","FAGR",11.2,2.9
"NRP1","NRP1042","FAGR",70,4
"NRP1","NRP1043","ACSA",20.8,8.4
"NRP1","NRP1044","FAGR",18.8,5.2
"NRP1","NRP1045","ACSA",34.9,8.5
"NRP1","NRP1046","FAGR",33,11.9
"NRP1","NRP1047","FAGR",27.8,13.4
"NRP1","NRP1048","FAGR",44.5,12.2
"NRP1","NRP1049","FAGR",21.4,17.7
"NRP1","NRP1050","BEAL",43.5,15.3
"NRP1","NRP1051","FAGR",56.4,26.4
"NRP1","NRP1052","FAGR",43.2,19.5
"NRP1","NRP1053","BEAL",40,24.7
"NRP1","NRP1054","BEAL",45.7,26.5
"NRP1","NRP1055","FRAM",31.3,25
"NRP1","NRP1056","ACSA",74.7,30
"NRP1","NRP1057","FRAM",40.1,18.5
"NRP1","NRP1058","ACSA",51.5,8
"NRP1","NRP1059","ACSA",58.9,8.8
"NRP1","NRP1060","TSCA",31.2,22.2
"NRP1","NRP1061","TSCA",40.6,20.1
"NRP1","NRP1062","FAGR",24.2,16.6
"NRP1","NRP1063","ACSA",80.4,3
"NRP1","NRP1064","FAGR",40.4,24.4
"NRP1","NRP1065","ACSA",73.7,18.8
"NRP1","NRP1066","TSCA",40.7,23.4
"NRP1","NRP1067","BEAL",32.3,26.9
"NRP1","NRP1068","FAGR",45.2,30
"NRP1","NRP1069","FAGR",28.9,26.1
"NRP1","NRP1070","ACSA",25.3,18.7
"NRP1","NRP1072","FAGR",54.2,26.1
"NRP1","NRP1073","FAGR",42.4,30
"NRP1","NRP1074","QURU",32.4,14.2
"NRP1","NRP1075","FAGR",41.1,12.4
"NRP1","NRP1076","FAGR",41.1,10.2
"NRP1","NRP1077","FRAM",43.9,17.3
"NRP1","NRP1078","QURU",63.8,23.8
"NRP1","NRP1079","FAGR",35,24.7
"NRP1","NRP1080","FAGR",35.4,25.8
"NRP1","NRP1081","ACSA",16.6,11.1
"NRP1","NRP1082","FRAM",52.1,8.7
"NRP2","NRP2001","BEAL",51.3,3.7
"NRP2","NRP2002","FAGR",21,9.2
"NRP2","NRP2003","FRAM",40.5,10.6
"NRP2","NRP2004","ACSA",73.3,16.5
"NRP2","NRP2005","FAGR",14.4,10.9
"NRP2","NRP2006","BEAL",51.4,15.6
"NRP2","NRP2007","FAGR",53.1,21.3
"NRP2","NRP2008","FRAM",51.9,25.6
"NRP2","NRP2009","PRSE",65.6,24.4
"NRP2","NRP2010","ACSA",21.4,17.5
"NRP2","NRP2011","FAGR",13.9,7.4
"NRP2","NRP2012","BEAL",54.8,7.6
"NRP2","NRP2013","ACSA",14.9,6.6
"NRP2","NRP2014","FRAM",47.1,8.3
"NRP2","NRP2015","ACSA",63.3,10.6
"NRP2","NRP2016","FRAM",50.2,11.8
"NRP2","NRP2017","ACSA",23.5,15.5
"NRP2","NRP2018","FRAM",53,19.1
"NRP2","NRP2019","FRAM",36.2,19.9
"NRP2","NRP2020","FRAM",43,25
"NRP2","NRP2021","FRAM",63.4,21.4
"NRP2","NRP2022","FRAM",49.8,28.4
"NRP2","NRP2023","FRAM",45.8,22
"NRP2","NRP2024","BEAL",46.5,28.9
"NRP2","NRP2025","FAGR",42.9,27.2
"NRP2","NRP2026","FRAM",67.5,29
"NRP2","NRP2027","TSCA",52,12.6
"NRP2","NRP2028","FRAM",57.6,17.9
"NRP2","NRP2029","FRAM",35.9,15.6
"NRP2","NRP2030","FRAM",25.8,11
"NRP2","NRP2031","FRAM",28.6,12
"NRP2","NRP2032","FAGR",17,12.3
"NRP2","NRP2033","ACSA",12.3,11
"NRP2","NRP2034","ACSA",25.3,12.5
"NRP2","NRP2035","FAGR",10.2,12.5
"NRP2","NRP2036","ACSA",14.7,10.5
"NRP2","NRP2037","FRAM",49,26.6
"NRP2","NRP2038","FRAM",48.6,24.6
"NRP2","NRP2039","FRAM",48.7,20.9
"NRP2","NRP2040","FRAM",47,29.9
"NRP2","NRP2041","FRAM",75.6,14.5
"NRP2","NRP2042","FRAM",72.5,26.1
"NRP2","NRP2043","BEAL",43.1,24.6
"NRP2","NRP2044","FAGR",15.8,5
"NRP2","NRP2045","FAGR",72,8.9
"NRP2","NRP2046","FAGR",36.8,11.5
"NRP2","NRP2047","FAGR",45.8,13
"NRP2","NRP2048","FRAM",41.3,21.3
"NRP2","NRP2049","FRAM",52.3,21
"NRP2","NRP2050","FAGR",62,25.3
"NRP2","NRP2051","FAGR",49.9,26
"NRP2","NRP2052","FAGR",32.8,16
"NRP2","NRP2053","FRAM",60.1,20.2
"NRP2","NRP2054","FRAM",51.8,22.2
"NRP2","NRP2055","FAGR",38.3,19.6
"NRP2","NRP2056","FRAM",55,23.7
"NRP2","NRP2057","FRAM",57.5,28.5
"NRP2","NRP2058","FRAM",41.6,28.6
"NRP2","NRP2059","FAGR",49.1,10.5
"NRP2","NRP2060","FRAM",22.3,19.7
"NRP2","NRP2061","FAGR",30.6,21.5
"NRP2","NRP2062","FAGR",32,28.2
"NRP2","NRP2063","FRAM",10.3,2.9
"NRP2","NRP2064","BEAL",45.5,23.8
"NRP2","NRP2065","FAGR",34.6,28.1
"NRP2","NRP2066","TSCA",51.6,19.5
"NRP2","NRP2067","FAGR",49.8,17.7
"NRP2","NRP2068","TSCA",54,24.5
"NRP2","NRP2069",NA,61,29.9
"NRP2","NRP2070","BEAL",31.8,31.8
"NRP2","NRP2071","BEAL",31.8,18.5
"NRP3","NRP3001","TSCA",66.4,5
"NRP3","NRP3002","TSCA",40.2,8
"NRP3","NRP3003","TSCA",16,9.7
"NRP3","NRP3004","BELE",24.5,10.3
"NRP3","NRP3005","BELE",18.3,10
"NRP3","NRP3006","FAGR",13,10.1
"NRP3","NRP3007","TSCA",13.7,12
"NRP3","NRP3008","BELE",13,11.4
"NRP3","NRP3009","TSCA",42.5,13.9
"NRP3","NRP3010","TSCA",28.5,14.1
"NRP3","NRP3011","TSCA",44.2,13.9
"NRP3","NRP3012","QURU",51.5,12
"NRP3","NRP3013","ACRU",22.7,17.1
"NRP3","NRP3014","ACRU",32.8,20.4
"NRP3","NRP3015","TSCA",70.2,16.7
"NRP3","NRP3016","ACRU",21.2,16.2
"NRP3","NRP3017","BELE",24.4,19.1
"NRP3","NRP3018","QURU",45.3,24.7
"NRP3","NRP3019","TSCA",61,28.6
"NRP3","NRP3020","PIST",NA,25.4
"NRP3","NRP3021","PIST",50.8,24.7
"NRP3","NRP3022","QURU",54,3.6
"NRP3","NRP3023","TSCA",13,4.1
"NRP3","NRP3024","QURU",51.7,7.6
"NRP3","NRP3025","ACRU",22,7.2
"NRP3","NRP3026","PIST",48.8,10.4
"NRP3","NRP3027","FAGR",12.4,8.4
"NRP3","NRP3028","ACRU",15.3,12.9
"NRP3","NRP3029","QURU",50.4,15.6
"NRP3","NRP3030","BELE",30.2,18.7
"NRP3","NRP3031","QURU",61,20
"NRP3","NRP3032","TSCA",72.2,24.1
"NRP3","NRP3033","PIST",27.7,17.3
"NRP3","NRP3034","TSCA",58.1,15
"NRP3","NRP3035","TSCA",52,20.5
"NRP3","NRP3036","TSCA",68.7,20.3
"NRP3","NRP3037","TSCA",63.5,26.7
"NRP3","NRP3038","TSCA",32.6,28.8
"NRP3","NRP3039","ACRU",30,28.6
"NRP3","NRP3040","FAGR",35,22.6
"NRP3","NRP3041","ACRU",26.5,4.5
"NRP3","NRP3042","ACRU",24.6,6.3
"NRP3","NRP3043","FAGR",10.7,3.4
"NRP3","NRP3044","TSCA",48.7,9.5
"NRP3","NRP3045","TSCA",18.4,10.9
"NRP3","NRP3046","TSCA",58.2,11.9
"NRP3","NRP3047","TSCA",30.2,11.9
"NRP3","NRP3048","QURU",57.3,11
"NRP3","NRP3049","TSCA",52.4,12.7
"NRP3","NRP3050","TSCA",47.8,15.8
"NRP3","NRP3051","BELE",21.6,15.5
"NRP3","NRP3052","TSCA",29.8,10.9
"NRP3","NRP3053","TSCA",45.9,17.8
"NRP3","NRP3054","TSCA",38.1,20.6
"NRP3","NRP3055","FAGR",37.1,24.2
"NRP3","NRP3056","TSCA",39.6,26.6
"NRP3","NRP3057","TSCA",51.2,24.3
"NRP3","NRP3058","QURU",53.1,22.4
"NRP3","NRP3059","PIST",59.8,28.8
"NRP3","NRP3060","ACRU",30.2,24.9
"NRP3","NRP3061","TSCA",41,3.1
"NRP3","NRP3062","TSCA",50.1,5.8
"NRP3","NRP3063","FAGR",15.8,8.2
"NRP3","NRP3064","BELE",16.4,9
"NRP3","NRP3065","BELE",19.5,9.2
"NRP3","NRP3066","BELE",13.7,10.6
"NRP3","NRP3067","TSCA",13.3,10.5
"NRP3","NRP3068","BELE",14.3,10.8
"NRP3","NRP3069","BELE",10.4,12
"NRP3","NRP3070","TSCA",10.4,12.9
"NRP3","NRP3071","BELE",24.2,18.9
"NRP3","NRP3072","QURU",24,18.9
"NRP3","NRP3073","QURU",26.9,18.9
"NRP3","NRP3074","BELE",11.8,11.2
"NRP3","NRP3075","FAGR",13,12.6
"NRP3","NRP3076","BEPA",16.1,11.3
"NRP3","NRP3077","TSCA",NA,13
"NRP3","NRP3078","BELE",14.7,12.4
"NRP3","NRP3079","BELE",10,11.8
"NRP3","NRP3080","BELE",12.5,9.8
"NRP3","NRP3081","TSCA",37.1,11.5
"NRP3","NRP3082","TSCA",21.7,12
"NRP3","NRP3083","BELE",31.6,14.1
"NRP3","NRP3084","TSCA",39.5,13.6
"NRP3","NRP3085","TSCA",51.2,17.9
"NRP3","NRP3086","TSCA",45.4,22.9
"NRP3","NRP3087","ACRU",31.8,20.5
"NRP3","NRP3088","BELE",21.1,17.9
"NRP3","NRP3089","BELE",11.4,17.2
"NRP3","NRP3090","conifer",31.2,9.8
"NRP3","NRP3091","TSCA",15.3,9.3
"NRP3","NRP3092","TSCA",25.2,11.6
"NRP3","NRP3093","conifer",21.2,12.5
"NRP3","NRP3094","conifer",23,19.1
"NRP3","NRP3095","conifer",24.2,16.3
"NRP3","NRP3096","conifer",32.3,16.2
"NRP3","NRP3097","conifer",36.9,18.7
"NRP3","NRP3098","conifer",40.3,19.5
"NRP3","NRP3099","conifer",35.8,23.2
"NRP3","NRP3100","conifer",49.4,22.4
"NRP3","NRP3101","TSCA",54.9,16.1
"NRP3","NRP3102","PIST",61.9,25.7
"NRP3","NRP3103","QURU",36.1,26.3
"NRP3","NRP3104","conifer",36.7,29.1
"NRP3","NRP3105","conifer",34.8,23.6
"NRP3","NRP3106","FAGR",37.3,23.9
"NRP3","NRP3107","QURU",38.6,17
"NRP3","NRP3108","QURU",33.8,7.8
"NRP3","NRP3109","ACRU",16.2,8.1
"NRP3","NRP3110","conifer",31.5,6.4
"NRP3","NRP3111","conifer",32.1,9.6
"NRP3","NRP3112","BELE",12.3,4.6
"NRP3","NRP3113","PIST",55.4,18.3
"NRP3","NRP3114","TSCA",26.1,17
"NRP3","NRP3115","conifer",NA,23
"NRP3","NRP3116","TSCA",34.2,24.5
"NRP3","NRP3117","TSCA",42.6,17.7
"NRP3","NRP3118","conifer",38.7,18.4
"NRP3","NRP3119","BELE",28.4,13.4
"NRP3","NRP3120","conifer",37,21
"NRP3","NRP3121","conifer",64.1,18.3
"NRP3","NRP3122","PIST",32.6,18.7
"NRP3","NRP3123","PIST",44.2,19.3
"NRP3","NRP3124","conifer",42.2,14.4
"NRP3","NRP3125","conifer",39.4,13.5
"NRP3","NRP3126","conifer",59.8,20
"NRP3","NRP3127","conifer",46.1,23.4
"NRP3","NRP3128","conifer",66.3,22.3
"NRP3","NRP3129","conifer",51.6,27
"NRP3","NRP3130","conifer",61,25.5
"NRP3","NRP3131","conifer",68.7,28.3
"NRP3","NRP3132","conifer",56.2,26
"NRP3","NRP3133","PIST",44.3,13.2
"NRP3","NRP3134","PIST",45.9,13.5
"NRP3","NRP3136","TSCA",16.7,6
"NRP3","NRP3137","PIST",57.1,12.7
"NRP3","NRP3138","conifer",66.9,16.7
"NRP3","NRP3139",NA,NA,12.8
"NRP3","NRP3140",NA,NA,10.3
"NRP4","NRP4001","QURU",59.5,4
"NRP4","NRP4002","TSCA",40.5,3.1
"NRP4","NRP4003","QURU",37.6,7.4
"NRP4","NRP4004","TSCA",26.5,7.8
"NRP4","NRP4005","TSCA",36.4,7.9
"NRP4","NRP4006","TSCA",34.6,8.6
"NRP4","NRP4007","TSCA",32.2,9.1
"NRP4","NRP4008","TSCA",22.5,9.2
"NRP4","NRP4009","TSCA",22.2,12.1
"NRP4","NRP4010","TSCA",22.8,11.7
"NRP4","NRP4011","TSCA",40.6,12.7
"NRP4","NRP4012","TSCA",45.7,12.7
"NRP4","NRP4013","TSCA",20.8,14
"NRP4","NRP4014","TSCA",28,15.7
"NRP4","NRP4015","TSCA",41.4,17.3
"NRP4","NRP4016","TSCA",45.7,18
"NRP4","NRP4017","TSCA",26.5,17.9
"NRP4","NRP4018","ACRU",32.5,16.2
"NRP4","NRP4019","TSCA",32.6,16.2
"NRP4","NRP4020","TSCA",39.6,17.2
"NRP4","NRP4022","FAGR",30.1,23.4
"NRP4","NRP4025","TSCA",51.8,21.6
"NRP4","NRP4026","TSCA",44,19.4
"NRP4","NRP4027","QURU",49,19.3
"NRP4","NRP4028","TSCA",41,21.3
"NRP4","NRP4031","TSCA",39.5,25.4
"NRP4","NRP4032","PIST",78.8,26.8
"NRP4","NRP4033","TSCA",42.3,24.6
"NRP4","NRP4034","TSCA",35,27.6
"NRP4","NRP4035","BEPA",41.3,29.8
"NRP4","NRP4036","QURU",43.9,26.9
"NRP4","NRP4037","QURU",47.9,7.6
"NRP4","NRP4038","TSCA",33.4,5
"NRP4","NRP4039","TSCA",24.5,3.6
"NRP4","NRP4040","TSCA",10.5,4
"NRP4","NRP4041","TSCA",24.1,6
"NRP4","NRP4042","TSCA",23.5,6.9
"NRP4","NRP4043","TSCA",12.1,10
"NRP4","NRP4044","TSCA",40.8,10.1
"NRP4","NRP4045","TSCA",36.7,12
"NRP4","NRP4046","TSCA",23.1,12.2
"NRP4","NRP4047","TSCA",31.4,10.6
"NRP4","NRP4048","TSCA",30.5,12
"NRP4","NRP4049","TSCA",48,10.6
"NRP4","NRP4050","TSCA",16.2,8.7
"NRP4","NRP4051","TSCA",29.5,9.4
"NRP4","NRP4052","TSCA",25.2,13.3
"NRP4","NRP4053","TSCA",44.1,17
"NRP4","NRP4054","TSCA",25.7,19.1
"NRP4","NRP4055","TSCA",43.7,26.4
"NRP4","NRP4056","TSCA",34.8,23.6
"NRP4","NRP4057","TSCA",20.9,17.9
"NRP4","NRP4058","TSCA",32.5,19.8
"NRP4","NRP4059","ACRU",38.1,20.4
"NRP4","NRP4060","QURU",44.5,18.6
"NRP4","NRP4061","TSCA",34,16.4
"NRP4","NRP4062","QURU",53,14.9
"NRP4","NRP4063","TSCA",28.5,12.6
"NRP4","NRP4064","TSCA",31.2,13.9
"NRP4","NRP4065","TSCA",35.8,17.6
"NRP4","NRP4066","ACRU",36,17.9
"NRP4","NRP4067","TSCA",47.6,25.4
"NRP4","NRP4068","TSCA",36.6,29.5
"NRP4","NRP4069","TSCA",34.7,22.1
"NRP4","NRP4070","QURU",66,28.9
"NRP4","NRP4071","TSCA",35,3.1
"NRP4","NRP4072","TSCA",34.5,4.8
"NRP4","NRP4073","TSCA",33.7,6.1
"NRP4","NRP4074","TSCA",38.1,8.8
"NRP4","NRP4075","QURU",44.9,10.2
"NRP4","NRP4076","TSCA",27.9,9
"NRP4","NRP4077","TSCA",32.5,12.7
"NRP4","NRP4078","TSCA",32.4,11.7
"NRP4","NRP4079","TSCA",32.2,15.2
"NRP4","NRP4080","TSCA",38.3,17.5
"NRP4","NRP4081","BEPA",27,17
"NRP4","NRP4082","TSCA",20,16.6
"NRP4","NRP4083","QURU",55,17.6
"NRP4","NRP4084","TSCA",26.2,16.4
"NRP4","NRP4085","QURU",38.7,17.6
"NRP4","NRP4086","PIST",44,20.9
"NRP4","NRP4087","PIST",50.9,23.5
"NRP4","NRP4088","TSCA",50.7,23.6
"NRP4","NRP4089","TSCA",46,21.8
"NRP4","NRP4090","TSCA",39.9,23.3
"NRP4","NRP4091","TSCA",33,19.7
"NRP4","NRP4092","TSCA",42.2,20.7
"NRP4","NRP4093","TSCA",31.2,22.9
"NRP4","NRP4094","TSCA",33,17.7
"NRP4","NRP4095","TSCA",42.2,21.4
"NRP4","NRP4096","TSCA",33.3,24.1
"NRP4","NRP4097","TSCA",45.8,27.3
"NRP4","NRP4098","QURU",40.1,26
"NRP4","NRP4099","TSCA",41.3,28.8
"NRP4","NRP4100","TSCA",39.5,27
"NRP4","NRP4101","TSCA",33.9,28.6
"NRP4","NRP4102","QURU",50.2,29.8
"NRP4","NRP4103","TSCA",12,9.1
"NRP4","NRP4104","TSCA",31.2,2.6
"NRP4","NRP4105","TSCA",36,4.6
"NRP4","NRP4106","PIST",50.5,5.8
"NRP4","NRP4107","TSCA",16.5,7.7
"NRP4","NRP4108","TSCA",31.5,22.3
"NRP4","NRP4109","TSCA",20.5,19.1
"NRP4","NRP4110","FAGR",12.7,9.3
"NRP4","NRP4111","TSCA",37,17.6
"NRP4","NRP4112","TSCA",33.5,30
"NRP4","NRP4113","PIST",48.1,24
"NRP4","NRP4129","TSCA",39,26.8
"NRP4","NRP4130","TSCA",49.5,28.8
"NRP4","NRP4131","QURU",47.5,20.5
"NRP4","NRP4132","TSCA",29.2,16.5
"NRP4","NRP4134","TSCA",53.5,8.7
"NRP4","NRP4136","TSCA",49.9,24.9
"NRP4","NRP4137","TSCA",41,29.2
"NRP4","NRP4138","TSCA",21.5,14.5
"NRP4","NRP4139","TSCA",40.5,13.7
"NRP4","NRP4142","TSCA",38.2,5.6
"NRP4","NRP4143","TSCA",35.4,8.7
"NRP4","NRP4144","QURU",54.8,22.3
"NRP4","NRP4145","TSCA",43,26.9
"NRP4","NRP4147","TSCA",49,15.2
"NRP4","NRP4150","QURU",44,22.4
"NRP4","NRP4151","TSCA",38.4,1.4
"NRP4","NRP4152","QURU",36.6,8.3
"NRP4","NRP4153",NA,NA,5
"NRP4","NRP4154","PIST",48.4,9.6
"NRP4","NRP4155","Hardwood",22.6,12.3
"NRP4","NRP4156","TSCA",38,16.4
"NRP4","NRP4157","Conifer",72.6,20.9
"NRP4","NRP4158","QURU",NA,26.9
"NRP4","NRP4159","BEPA",32,27.3
"NRP4","NRP4160","Conifer",48.7,25
"NRP4","NRP4161","QURU",21.5,12.4
"NRP4","NRP4162","QURU",30,29.8
"NRP4","NRP4163","TSCA",47.5,24
"NRP4","NRP4164",NA,51.8,22.4
"NRP4","NRP4165",NA,22,1
"NRP4","NRP4166","TSCA",57,12.1
"NRP4","NRP4167","TSCA",52,12.5
"NRP4","NRP4168",NA,100,7.6
"NRP4","NRP4169","BEPA",46,19.6
"NRP4","NRP4170","TSCA",NA,16.7
"NRP4","NRP4171",NA,48,14.9
"NRP4","NRP4172",NA,60,18.6
"NRP4","NRP4173",NA,63,17.2
"NRP4","NRP4174","QURU",30,29.6
"NRP4","NRP4175","QURU",73,22.8
"NRP4","NRP4176","TSCA",21,19
"NRP4","NRP4177","TSCA",37.5,23.2
"NRP4","NRP4178","ACRU",21.8,17.2
"NRP4","NRP4179","TSCA",43,23.1
"NRP4","NRP4180",NA,61,29.5
"NRP4","NRP4181",NA,45,24.2
"NRP4","NRP4182","TSCA",40,14.6
"NRP4","NRP4183","PIST",59,13
"NRP4","NRP4184","TSCA",64,11.1
"NRP4","NRP4185","QURU",41,8.8
"NRP4","NRP4186","QURU",19.7,6.4
"NRP4","NRP4187","QURU",12.1,7.8
"NRP4","NRP4188","QURU",30,12.6
"NRP4","NRP4189",NA,14,12.3
"NRP4","NRP4190",NA,44,18.7
"NRP4","NRP4191",NA,44.5,22.8
"NRP4","NRP4192",NA,70,26.5
"NRP4","NRP4193","BEPA",22,20.8
"NRP4","NRP4194",NA,46,9.4
"NRP4","NRP4195",NA,53,7.7
"NRP4","NRP4196",NA,54,5
"NRP4","NRP4197","ACRU",13.6,6.4
"NRP4","NRP4198","TSCA",14.6,5.8
"NRP4","NRP4199","QURU",32.5,13.8
"NRP4","NRP4200",NA,55,8.9
"NRP4","NRP4201","TSCA",70,15.4
"NRP4","NRP4202","TSCA",64,14.6
"NRP4","NRP4203","QURU",35.8,17.5
"NRP4","NRP4204",NA,52.5,27.8
"NRP4","NRP4205","TSCA",59,20
"NRP4","NRP4206","TSCA",42.2,24.9
"NRP4","NRP4207","QURU",37.9,27.3
"NRP4","NRP4208","QURU",37.5,28.8
"NRP4","NRP4209","QURU",48.5,29.2
"NRP4","NRP4210","QURU",31,26.9
"NRP4","NRP4211","TSCA",38,23.7
