"site","ID","species","dbh","distance"
"RH1","RH1001","ACRU",15.3,2
"RH1","RH1002","PCRU",18.1,5.6
"RH1","RH1003","ACRU",28,5.7
"RH1","RH1004","FAGR",10.8,5.5
"RH1","RH1005","ACRU",17.2,3.5
"RH1","RH1006","PCRU",13.1,6.5
"RH1","RH1007","PCRU",21.1,9.4
"RH1","RH1008","PCRU",10,8.1
"RH1","RH1009","PCRU",11.7,9.4
"RH1","RH1010","ACPE",10.2,9.3
"RH1","RH1011","ACRU",29.9,10.7
"RH1","RH1012","PCRU",23.6,11.3
"RH1","RH1013","PCRU",16.4,10.6
"RH1","RH1014","QURU",60,13.9
"RH1","RH1015","QURU",45.4,15.9
"RH1","RH1016","QURU",40.9,17.4
"RH1","RH1017","ACRU",39,17.4
"RH1","RH1018","PRSE",22.3,19.2
"RH1","RH1019","QURU",43.2,10.5
"RH1","RH1020","PCRU",19.2,12.3
"RH1","RH1021","QURU",31.3,14.9
"RH1","RH1022","QURU",27.4,15.9
"RH1","RH1023","QURU",41.1,16.1
"RH1","RH1024","ACRU",20.1,17.5
"RH1","RH1025","QURU",23.7,18.4
"RH1","RH1026","FAGR",40,26.5
"RH1","RH1027",NA,12.8,7.4
"RH1","RH1028","QURU",30,4
"RH1","RH1029","PCRU",13,4.7
"RH1","RH1030","PCRU",16.2,7.6
"RH1","RH1031","ACRU",22.9,7.4
"RH1","RH1032","PCRU",10,9
"RH1","RH1033","ACRU",13.2,10.3
"RH1","RH1034","ACRU",17.6,11.9
"RH1","RH1035","PCRU",15.9,9.5
"RH1","RH1036","ACRU",20.8,7.9
"RH1","RH1037","ACRU",22.6,11.2
"RH1","RH1038","ACRU",16.6,10.5
"RH1","RH1039","ACRU",16.7,12.3
"RH1","RH1040","ACRU",23.7,13.2
"RH1","RH1041","PCRU",14.2,12.9
"RH1","RH1042","QURU",43.5,10.8
"RH1","RH1043","QURU",33.6,17.2
"RH1","RH1044","QURU",35.2,12.9
"RH1","RH1045","QURU",24.7,16
"RH1","RH1046","QURU",36.5,18.9
"RH1","RH1047","QURU",23.9,19.1
"RH1","RH1048","PCRU",20.5,13.2
"RH1","RH1049","QURU",46,17.9
"RH1","RH1050","QURU",25,17.6
"RH1","RH1051","QURU",19.6,12.4
"RH1","RH1052","PCRU",10,5.6
"RH1","RH1053","ACRU",19.3,2.4
"RH1","RH1054","PCRU",13.5,2.8
"RH1","RH1055","FAGR",14.4,9.9
"RH1","RH1056","QURU",28.5,5.5
"RH1","RH1057","QURU",38.5,5.9
"RH1","RH1058","ACRU",13,8.5
"RH1","RH1059","ACRU",21.2,8.9
"RH1","RH1060","PCRU",19.2,7.9
"RH1","RH1061","QURU",26.9,9.1
"RH1","RH1062","QURU",37.9,9.5
"RH1","RH1063","PCRU",12.9,10.5
"RH1","RH1064","ACRU",11.8,12.8
"RH1","RH1065","PCRU",18,12.9
"RH1","RH1066","QURU",21.3,15.1
"RH1","RH1067","QURU",21.8,15.7
"RH1","RH1068","QURU",41.6,16.3
"RH1","RH1069","QURU",32,19
"RH1","RH1070","QURU",24,18.9
"RH1","RH1071","PCRU",23.7,19.4
"RH1","RH1072","QURU",44,18.7
"RH1","RH1073","QURU",35.5,11.3
"RH1","RH1074",NA,59,10.6
"RH1","RH1075",NA,68.5,13.1
"RH1","RH1076",NA,78,8.5
"RH1","RH1077",NA,81,13.1
