"ID","species","dbh","distance","site"
"SEH002","ACSA",15.5,11.61,"SEH1"
"SEH005","ACSA",34,22.5,"SEH1"
"SEH038","ACSA",23.4,19.79,"SEH1"
"SEH004","BEAL",61.9,13.59,"SEH1"
"SEH006","BEAL",60.2,26.78,"SEH1"
"SEH007","BEAL",34.4,24.95,"SEH1"
"SEH008","BEAL",50,29.62,"SEH1"
"SEH022","BEAL",78.2,23.81,"SEH1"
"SEH024","BEAL",64,16.81,"SEH1"
"SEH027","BEAL",40.1,24.49,"SEH1"
"SEH042","BEAL",41.5,27.75,"SEH1"
"SEH046","BEAL",65.5,19.05,"SEH1"
"SEH047","BEAL",54.3,21.77,"SEH1"
"SEH056","BEAL",60.1,26.68,"SEH1"
"SEH061","BEAL",48.3,28.95,"SEH1"
"SEH066","BEAL",32,25.7,"SEH1"
"SEH067","BEAL",49.3,29.91,"SEH1"
"SEH071","BEAL",37.2,20.78,"SEH1"
"SEH072","BEAL",51.5,20.63,"SEH1"
"SEH074","BEAL",50.2,16.04,"SEH1"
"SEH075","BEAL",50.1,14.75,"SEH1"
"SEH032",NA,36.9,18.25,"SEH1"
"SEH035",NA,21.6,13.18,"SEH1"
"SEH058",NA,32.5,13.68,"SEH1"
"SEH009","THOC",32.6,26.4,"SEH1"
"SEH016","THOC",49.9,19.54,"SEH1"
"SEH025","THOC",36.6,21.4,"SEH1"
"SEH030","THOC",40.4,24.04,"SEH1"
"SEH031","THOC",38.2,24.54,"SEH1"
"SEH033","THOC",31.2,26.45,"SEH1"
"SEH034","THOC",40,24.22,"SEH1"
"SEH041","THOC",41.2,27.48,"SEH1"
"SEH052","THOC",25.5,13.83,"SEH1"
"SEH053","THOC",30.8,14.54,"SEH1"
"SEH057","THOC",30.1,24.26,"SEH1"
"SEH001","TSCA",84.9,8.29,"SEH1"
"SEH003","TSCA",58.7,16.7,"SEH1"
"SEH010","TSCA",58.3,24.64,"SEH1"
"SEH011","TSCA",76.5,23.32,"SEH1"
"SEH012","TSCA",58.8,25.14,"SEH1"
"SEH013","TSCA",75.3,15.7,"SEH1"
"SEH014","TSCA",74.8,11.09,"SEH1"
"SEH015","TSCA",33.1,11.66,"SEH1"
"SEH017","TSCA",46.3,21.57,"SEH1"
"SEH018","TSCA",42.8,23.53,"SEH1"
"SEH019","TSCA",61.9,11.47,"SEH1"
"SEH020","TSCA",80.7,4.11,"SEH1"
"SEH021","TSCA",64.1,12.66,"SEH1"
"SEH023","TSCA",32.6,29.99,"SEH1"
"SEH026","TSCA",60.2,27.17,"SEH1"
"SEH028","TSCA",57.3,5.94,"SEH1"
"SEH029","TSCA",34.6,10.35,"SEH1"
"SEH036","TSCA",84,14.26,"SEH1"
"SEH037","TSCA",59.2,11.37,"SEH1"
"SEH039","TSCA",68.9,16.52,"SEH1"
"SEH040","TSCA",85.4,7.79,"SEH1"
"SEH043","TSCA",62.2,25.73,"SEH1"
"SEH045","TSCA",39.8,29.42,"SEH1"
"SEH048","TSCA",28.9,18.79,"SEH1"
"SEH049","TSCA",47.2,19.04,"SEH1"
"SEH050","TSCA",36.2,20.17,"SEH1"
"SEH051","TSCA",36.9,29.65,"SEH1"
"SEH054","TSCA",56.5,26,"SEH1"
"SEH055","TSCA",33.5,27.07,"SEH1"
"SEH059","TSCA",59.9,28.78,"SEH1"
"SEH062","TSCA",71,16.05,"SEH1"
"SEH063","TSCA",77,22.57,"SEH1"
"SEH064","TSCA",31.7,4.13,"SEH1"
"SEH065","TSCA",76.1,8.69,"SEH1"
"SEH068","TSCA",34.5,26.31,"SEH1"
"SEH069","TSCA",53.6,24.05,"SEH1"
"SEH070","TSCA",31.6,22.54,"SEH1"
"SEH073","TSCA",39.9,16.12,"SEH1"
